Месторождение,Скважина,"Интервал отбора керна, м (Кровля)","Интервал отбора керна, м (Подошва)","Интервал отбора керна, м (после привязки) (Кровля)","Интервал отбора керна, м (после привязки) (Подошва)",Фактический вынос (м),Фактический вынос (%),Стратиграфическая единица,Слой (Кровля),Слой (Подошва),Слой (Толщина),Классификация (Порода),Классификация (Карбонатность),Классификация (Разрушенность),Классификация (Насыщение),Полное описание (старый формат),"Профильные методы, среднее значение по слою (Общая радио активность, API)","Профильные методы, среднее значение по слою (Плотность, г/см3)","Профильные методы, среднее значение по слою (Проницаемость, мД)"
1.0,2.0,1963.1,1978.1,1964.3,1979.3,15.0,1.0,НП\2-3,11.56,13.68,2.12,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,"Песчаник светло-серый мелкозернистый до алевритистого, среднесортированный, крепкий, хорошо сцементированный, слабонефтенасыщенный (свечение в УФ-свете, запах УВ). В основном с пологонаклонной слоистостью, подчеркнутой углистым детритом. На глубине 11,61-11,73, 12,93-12,96, 13,42-13,48 и в конце слоя отмечаются интракласты аргиллита темно-серого. Обломки уплощенные косоориентированные, местами деформированные и с рваными краями, размеры от нескольких мм до диаметра керна. На глубине 13,14-13,21 м отмечается текстура оползания.",64.3425149047619,2.4821337142857143,16.64032
1.0,2.0,1963.1,1978.1,1964.3,1979.3,15.0,1.0,НП\2-3,13.68,14.44,0.76,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,"Неравномерное косо-волнистое и пологонаклонное переслаивание песчаника светло-серого мелкозернистого с желтоватым оттенком (слабонефтенасыщенного), алевролита серого мелкозернистого глинистого и слойков углисто-слюдистого материала. Местами текстура нарушена интенсивной биотурбацией (Planolites). ",69.57513471428571,2.4841335714285715,3.6313846153846154
1.0,2.0,1963.1,1978.1,1964.3,1979.3,15.0,1.0,НП\2-3,14.44,15.0,0.56,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,"Песчаник светло-серый мелкозернистый, среднесортированный, крепкий, хорошо сцементированный, слабонефтенасыщенный (свечение в УФ-свете, запах УВ). В начале слоя с пологонаклонными слойками углисто-слюдистого материала, далее по слою наблюдаются биотурбационные текстуры (Skolithos, Teichichnus).",68.490401,2.5066975,3.441555555555556
1.0,2.0,1978.1,1981.24,1979.3,1982.44,2.88,0.9171974522292994,НП\2-3,0.0,0.31,0.31,песчаник,слабокарбонатный,не разрушен,не опред.,"Песчаник светло-серый мелкозернистый до алевролита крупнозернистого, среднесортированный, крепкий, хорошо сцементированный, с глинисто-карбонатным цементом, с редкими пологонаклонными слойками углисто-слюдистого материала. На глубине 0,00-0,07 и 0,18-0,2 м отмечаются прослои нефтенасыщенного песчаника.",47.51093766666667,2.526923666666667,0.01
1.0,2.0,1978.1,1981.24,1979.3,1982.44,2.88,0.9171974522292994,НП\2-3,0.31,1.06,0.75,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,"Песчаник светло-серый мелкозернистый, среднесортированный, крепкий, хорошо сцементированный, слабонефтенасыщенный (свечение в УФ-свете, запах УВ), с редкими пологонаклонными слойками углисто-слюдистого материала. Контакт четкий.",59.694915125,2.418403625,15.4425
1.0,2.0,1978.1,1981.24,1979.3,1982.44,2.88,0.9171974522292994,НП\2-3*Между НП\2-3~ и НП\4,1.06,2.88,1.82,алевролит,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,"Алевролит серый до темно-серого мелко-крупнозернистый до мелкозернистого, крепкий, с частыми линзами светло-серого мелкозернистого песчаника, местами карбонатного или слабонефтенасыщенного. По слою наблюдается интенсивная биотурбация (Palaeophycus, Planolites), участками встречаются включения зерен сидерита.",77.76384005555556,2.5014760555555555,0.26788235294117646
1.0,2.0,1981.24,1996.26,1982.44,1997.46,15.0,0.9986684420772303,Между НП\2-3~ и НП\4,0.0,1.33,1.33,алевролит,с карбонатными обломками или конкрециями,не разрушен,не опред.,"Алевролит серый до темно-серого мелкозернистый до аргиллита, крепкий, с частыми линзами светло-серого мелкозернистого песчаника, местами карбонатного. По слою наблюдается интенсивная биотурбациябиотурбация (Planolites,
Phycosiphon), участками встречаются прослои сидеритизированного глинистого материала.",78.79414384615384,2.534397307692308,0.21
1.0,2.0,1981.24,1996.26,1982.44,1997.46,15.0,0.9986684420772303,Между НП\2-3~ и НП\4,1.33,1.55,0.22,песчаник,не карбонатный,не разрушен,пятнисто нефтенасыщенные,"Песчаник светло-серый мелкозернистый до алевролита крупнозернистого, крепкий, хорошо сцементированный, отдельными линзами нефтенасыщенный. Весь слой с частыми линзовидно волнистыми прослоями глинистого материала, слоистость интенсивно нарушена биотурбацией. ",75.2465325,2.5564145,0.34475
1.0,2.0,1981.24,1996.26,1982.44,1997.46,15.0,0.9986684420772303,Между НП\2-3~ и НП\4,1.55,2.18,0.63,алевролит,не карбонатный,не разрушен,не опред.,"Алевролит серый до темно-серого мелкозернистый до аргиллита, крепкий, с частыми линзами светло-серого мелкозернистого песчаника, местами карбонатного. По всему слою наблюдаются мелкие ходики роющих организмов (Planolites, Chondrites, Palaeophycus). На глубине 1,89-1,92 м от начала интервала наблюдается прослой песчаника светло-серого мелкозернистого слабонефтенасыщенного с пологонаклонными слойками глинистого материала.",76.83536666666667,2.439388,0.41990909090909095
1.0,2.0,1981.24,1996.26,1982.44,1997.46,15.0,0.9986684420772303,Между НП\2-3~ и НП\4*НП\4,2.18,7.07,4.89,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,"Неравномерное линзовидное переслаивание песчаника, алевролита и аргиллита. Песчаник светло-серый мелкозернистый, местами слабонефтенасыщен (свечение в УФ-свете и запах УВ). Алевролит темно-серый мелкозернистый глинистый до аргиллита. Весь слой интенсивно биотурбированный (Chondrites, Asterosoma, Helminthopsis, Planolites).",71.81828312244899,2.541720367346939,0.23961538461538462
1.0,2.0,1981.24,1996.26,1982.44,1997.46,15.0,0.9986684420772303,НП\4,7.07,15.0,7.93,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,"Песчаник светло-серый мелкозернистый среднесортированный, крепкий, хорошо сцементированный, местами слабонефтенасыщенный (яркое свечение в УФ-свете, запах УВ) или карбонатный. Слоистость линзовидно-волнистая, обусловленная алевролитом темно-серым мелкозернистым глинистым до аргиллита, интенсивно нарушена биотурбацией (Chondrites, Terebellina).",67.36652583116883,2.496354,1.9127919463087248
1.0,2.0,1996.26,2002.26,1997.46,2003.46,6.0,1.0,НП\4,0.0,0.76,0.76,песчаник,среднекарбонатный,не разрушен,не опред.,"Песчаник светло-серый мелкозернистый до алевролита крупнозернистого, крепкий, хорошо сцементированный, карбонатный. Весь слой с частыми линзовидно волнистыми прослоями глинистого материала, слоистость интенсивно нарушена биотурбацией.",59.9384455,2.543924625,0.6655
1.0,2.0,1996.26,2002.26,1997.46,2003.46,6.0,1.0,НП\4,0.76,2.5,1.74,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,"Песчаник светло-серый мелкозернистый до алевролита крупнозернистого, крепкий, хорошо сцементированный, в отдельных линзах карбонатный. Весь слой с частыми линзовидно волнистыми прослоями глинистого материала, слоистость интенсивно нарушена биотурбацией. На глубине 2,33 и 2,42 м от начала интервала наблюдаются слабо вытянутые конкреции сидерита длиной до 1,5 см и шириной до 0,8 см и 0,5*0,3 см.",66.57490452941177,2.5019411764705883,1.54140625
1.0,2.0,1996.26,2002.26,1997.46,2003.46,6.0,1.0,НП\4,2.5,4.96,2.46,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,"Песчаник светло-серый мелкозернистый до алевролита крупнозернистого, участками мелко-среднезернистый, крепкий, хорошо сцементированный, в отдельных линзах карбонатный. Весь слой с частыми линзовидно волнистыми и пологонаклонными прослоями аргиллита серого алевритового, слоистость интенсивно нарушена биотурбацией. Толщина слойков аргиллита до 1,5 см, а песчаных прослоев с однородной текстурой и с тонкими косо-волнистыми слойками глинистого материала до 2 см. По всему слою наблюдаются отдельные линзы нефтенасыщенного песчаника (желтоватый оттенок, свечение в УФ-свете и запах УВ).",71.02706570833332,2.5114255,0.37977777777777777
1.0,2.0,1996.26,2002.26,1997.46,2003.46,6.0,1.0,НП\4,4.96,5.24,0.28,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,"Песчаник с желтоватым оттенком мелкозернистый среднесортированный, крепкий, хорошо сцементированный, слабонефтенасыщенный (яркое свечение в УФ-свете, запах УВ). Слоистость пологонаклонная, местами мелкая косо-волнистая, обусловленная глинистым материалом, изредка слойки биотурбированы.",57.674107,2.374406,5.86
1.0,2.0,1996.26,2002.26,1997.46,2003.46,6.0,1.0,НП\4,5.24,5.84,0.6,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,"Песчаник светло-серый мелкозернистый до алевролита крупнозернистого, крепкий, хорошо сцементированный, в отдельных линзах карбонатный или нефтенасыщенный. Весь слой с частыми линзовидно волнистыми и косо-волнистыми прослоями аргиллита серого алевритового, слоистость интенсивно нарушена биотурбацией (Phycosiphon). На глубине 5,56 м отмечается тонкий прослой углистого материала. Толщина прослоев аргиллита до 2-3 мм, а песчаника с мелкой косо-волнистой слоистостью нефтенасыщенных до 1,5 см.",69.03235116666666,2.5007773333333336,0.22841666666666666
1.0,2.0,1996.26,2002.26,1997.46,2003.46,6.0,1.0,НП\4,5.84,6.0,0.16,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,"Песчаник с желтоватым оттенком мелкозернистый среднесортированный, крепкий, хорошо сцементированный, слабонефтенасыщенный (яркое свечение в УФ-свете, запах УВ). Слоистость пологонаклонная, местами мелкая косая, обусловленная глинистым материалом. В конце интервала наблюдаются уплощенные деформированные косоориентированные интракласты алевролита серого мелкозернистого глинистого, длина линз до 3 см, ширина не более 1 см. У некоторых обломков встречаются рваные края.",52.1647225,2.338011,16.106666666666666
1.0,2.0,2176.06,2191.02,2177.56,2192.52,14.96,1.0,Ю\2-6,0.0,1.23,1.23,песчаник,не карбонатный,не разрушен,пятнисто нефтенасыщенные,"Первые 5 см слоя представлены алевролитом светло-серым крупнозернистым, с косыми срезанными слойками углисто-слюдистого материала. Далее по слою песчаник светло-серый, отдельными прослоями с желтоватым оттенком (слабонефтенасыщенный) мелкозернистый алевритистый до алевритового, крепкий, хорошо сцементированный, сортировка до плохой. Песчаник в УФ-свете имеет неравномерное свечение. Текстура мелкая косая и пучковидная ""елочкой"", подчеркнутая углисто-слюдистым материалом. На глубине 1,03-1,18 м отмечаются волнистые прослои, толщиной 1 мм-1,5 см, представленные алевролитом серым мелкозернистым глинистым (прослои слабосидеритизированные), далее встречаются мелкие уплощенные косоориентированные (25-30 градусов) обломки 1-3 мм в длину того же алевролита, описанного выше. ",62.63945991666667,2.500186166666667,0.8568095238095238
1.0,2.0,2176.06,2191.02,2177.56,2192.52,14.96,1.0,Ю\2-6,1.23,2.55,1.32,песчаник,сильнокарбонатный,не разрушен,не опред.,"Песчаник светло-серый мелкозернистый до алевролита крупнозернистого, крепкий, хорошо сцементированный, с карбонатным цементом. В начале слоя встречаются мелкие уплощенные косоориентированные (5-10 градусов) обломки 1-3 мм в длину, представленные алевролитом серым мелкозернистым глинистым, слабо сидеритизированным. В середине слоя наблюдается ритмичная косая слоистость, подчеркнутая минимумом детрита. На глубине 2,23-2,29 м от начала интервала отмечается восходящая рябь течения, подчеркнутая также минимумом детрита. Контакт четкий.",59.19080146153846,2.572751461538462,0.28204
1.0,2.0,2176.06,2191.02,2177.56,2192.52,14.96,1.0,Ю\2-6,2.55,3.32,0.77,"пересл. песчаника, алевролита и глин",сильнокарбонатный,не разрушен,не опред.,"Неравномерное переслаивание алевролита серого мелкозернистого глинистого и песчаника светло-серого мелкозернистого. Весь слой карбонатный, пронизан трещинами, заполненными белым кальцитом. Трещины ветвящиеся, разнонаправленные, раскрытость составляет от долей мм до 5 мм. Слоистость волнистая и косо-волнистая, толщина прослоев песчаника до 3 см, алевролита до 0,5-0,7 см. Участками отмечается сидеритизация прослоев глинистого алевролита. Контакт четкий.",67.08283625,2.534611125,0.1795714285714286
1.0,2.0,2176.06,2191.02,2177.56,2192.52,14.96,1.0,Ю\2-6,3.32,4.14,0.82,песчаник,сильнокарбонатный,не разрушен,не опред.,"Песчаник светло-серый мелкозернистый до алевролита крупнозернистого, крепкий, хорошо сцементированный, сортировка средняя, карбонатный. На глубине 3,32-3,42 и 3,52-3,62 м от начала интервала отмечаются волнистые слойки, представленные алевролитом серым мелкозернистым глинистым. Также в начале и конце слоя наблюдаются редкие прерывистые слойки глинисто-углистого материала.",65.154289125,2.502513625,0.115
1.0,2.0,2176.06,2191.02,2177.56,2192.52,14.96,1.0,Ю\2-6,4.14,4.23,0.09,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,не опред.,"Тонкое волнистое неравномерное переслаивание алевролита серого мелкозернистого глинистого, местами с включением углистого детрита и зерен сидерита, и песчаника  светло-серого мелкозернистого. В прослоях алевролита наблюдаются мелкие ходики илоедов, а в прослоях песчаника отмечаются мелкие косые слойки, подчеркнутые углисто-слюдистым материалом. Контакт четкий.",66.751213,2.589434,0.228
1.0,2.0,2176.06,2191.02,2177.56,2192.52,14.96,1.0,Ю\2-6,4.23,4.43,0.2,"пересл. песчаника, алевролита и глин",сильнокарбонатный,не разрушен,не опред.,"Тонкое пологонаклонное и пологоволнистое неравномерное переслаивание алевролита серого мелкозернистого глинистого, местами с включением углистого детрита и зерен сидерита, и песчаника  светло-серого мелкозернистого сильнокарбонатного.  В прослоях алевролита наблюдаются мелкие ходики илоедов. В конце слоя отмечаются единичные слойки песчаника нефтенасыщенного. Контакт четкий.",77.994099,2.564374,0.165
1.0,2.0,2176.06,2191.02,2177.56,2192.52,14.96,1.0,Ю\2-6,4.43,4.62,0.19,песчаник,среднекарбонатный,не разрушен,пятнисто нефтенасыщенные,"Песчаник светло-серый, пятнами бурый, мелкозернистый до алевролита крупнозернистого, крепкий, хорошо сцементированный, карбонатный, неравномерно нефтенасыщенный. Слоистость мелкая косая (""елочка"" вилообразная). По слою встречаются слабонаклонные субвертикальные трещины, залеченные белым кальцитом, раскрытость трещин не более 1-2 мм.",66.721016,2.5329985,0.31125
1.0,2.0,2176.06,2191.02,2177.56,2192.52,14.96,1.0,Ю\2-6,4.62,5.04,0.42,песчаник,среднекарбонатный,не разрушен,не опред.,"Песчаник светло-серый мелкозернистый до алевролита крупнозернистого, крепкий, хорошо сцементированный, карбонатный, с единичными мелкими пологонаклонными линзочками углисто-слюдистого материала.",59.67203775,2.47874375,0.194
